Date,Holiday,Type,Bank Holiday
2019/03/31,British Summertime (BST) Begins,Notable Date,FALSE
2019/04/01,April Fool's Day,Notable Date,FALSE
2019/04/18,Maundy Thursday,Religious Date,FALSE
2019/04/19,Good Friday,Bank Holiday,TRUE
2019/04/21,Easter Sunday,Religious Date,FALSE
2019/04/21,Queen Elizabeth's Birthday,Notable Date,FALSE
2019/04/22,Easter Monday,Bank Holiday,TRUE
2019/04/23,St George's Day,Religious Date,FALSE
2019/05/06,May Day (Early May Bank Holiday),Bank Holiday,TRUE
2019/05/27,Spring Bank Holiday,Bank Holiday,TRUE
2019/06/14,Trooping the Colour,Notable Date,FALSE
2019/06/16,Father's Day,Notable Date,FALSE
2019/07/14,Emmeline Pankhurst Day,Notable Date,FALSE
2019/07/15,St.Swithun's Day (aka St. Swithin's),Religious Date,FALSE
2019/08/26,Summer Bank Holiday,Bank Holiday,TRUE
2019/10/27,British Summertime (BST) Ends,Notable Date,FALSE
2019/10/31,Halloween,Notable Date,FALSE
2019/11/01,All Saints Day,Religious Date,FALSE
2019/11/05,Guy Fawkes Night,Notable Date,FALSE
2019/11/10,Remembrance Day (Remembrance Sunday),Notable Date,FALSE
2019/11/30,St Andrew's Day,Religious Date,FALSE
2019/12/25,Christmas,Bank Holiday,TRUE
2019/12/26,Boxing Day,Bank Holiday,TRUE
2020/01/01,New Year's Day,Bank Holiday,TRUE
2020/01/25,Robert Burns Night (Burns Night),Notable Date,FALSE
2020/01/27,Holocaust Memorial Day,Notable Date,FALSE
2020/02/14,Valentines Day,Notable Date,FALSE
2020/02/25,Shrove Tuesday (Pancake Day),Notable Date,FALSE
2020/02/26,Ash Wednesday,Religious Date,FALSE
2020/03/01,St David's Day,Notable Date,FALSE
2020/03/17,St Patricks Day,Religious Date,FALSE
2020/03/22,Mothering Sunday (Mothers Day),Notable Date,FALSE
2020/03/29,British Summertime (BST) Begins,Notable Date,FALSE
2020/04/01,April Fool's Day,Notable Date,FALSE
2020/04/09,Maundy Thursday,Religious Date,FALSE
2020/04/10,Good Friday,Bank Holiday,TRUE
2020/04/12,Easter Sunday,Religious Date,FALSE
2020/04/13,Easter Monday,Bank Holiday,TRUE
2020/04/21,Queen Elizabeth's Birthday,Notable Date,FALSE
2020/04/23,St George's Day,Religious Date,FALSE
2020/05/04,May Day (Early May Bank Holiday),Bank Holiday,TRUE
2020/05/25,Spring Bank Holiday,Bank Holiday,TRUE
2020/06/14,Trooping the Colour,Notable Date,FALSE
2020/06/21,Father's Day,Notable Date,FALSE
2020/07/14,Emmeline Pankhurst Day,Notable Date,FALSE
2020/07/15,St.Swithun's Day (aka St. Swithin's),Religious Date,FALSE
2020/08/31,Summer Bank Holiday,Bank Holiday,TRUE
2020/10/25,British Summertime (BST) Ends,Notable Date,FALSE
2020/10/31,Halloween,Notable Date,FALSE
2020/11/01,All Saints Day,Religious Date,FALSE
2020/11/05,Guy Fawkes Night,Notable Date,FALSE
2020/11/08,Remembrance Day (Remembrance Sunday),Notable Date,FALSE
2020/11/30,St Andrew's Day,Religious Date,FALSE
2020/12/25,Christmas,Bank Holiday,TRUE
2020/12/28,Boxing Day,Bank Holiday,TRUE
